Group,Dose,Time (days),TumorWeight (g)
2,0.09,13,
2,,19.99495348,0.968628594
2,,20.92746182,1.102175602
2,,21.96967702,1.211441336
2,,24.93176233,1.684926185
2,,25.97397753,1.903457653
2,,26.9613393,2.097707848
2,,27.94870107,2.668317793
2,,31.8957346,4.111888112
3,1.2,13,
3,,20.99526066,0.902097902
3,,21.94312796,0.965034965
3,,24.97630332,1.342657343
3,,25.92417062,1.657342657
3,,27.01421801,1.741258741
3,,28.00947867,2.118881119
3,,31.99052133,3.524475524
3,,35.92417062,5.055944056
