dose_group,parameter,S1,ST,S1_CI_low,S1_CI_high,ST_CI_low,ST_CI_high
Control,lambda_0,0.7007843919199737,0.7827128458501588,0.695588777259226,0.7059800065807214,0.7766242230867596,0.7888014686135579
Control,lambda_1,0.2178195200744451,0.29934741642910906,0.21422438505121882,0.2214146550976714,0.2975885493597358,0.30110628349848234
Control,phi,-2.2932282268006698e-5,6.763942852016651e-6,-3.8683599239390594e-5,-7.180965296622799e-6,6.6941901005973195e-6,6.833695603435982e-6
Control,k1,-1.0086419408351997e-13,9.602310483405907e-22,-4.194495937145658e-13,2.1772120554752585e-13,8.301276171772134e-22,1.090334479503968e-21
Control,k2,9.390398649327387e-13,2.1230569964395835e-20,-7.619769324116461e-13,2.6400566622771233e-12,2.046881702433772e-20,2.199232290445395e-20
45 mg/kg,lambda_0,0.7763045833775406,0.8514042027062042,0.7703636511503429,0.7822455156047383,0.844559676125426,0.8582487292869824
45 mg/kg,lambda_1,0.13785771409310496,0.2138506613004789,0.134645070850057,0.14107035733615292,0.21247493527014116,0.21522638733081662
45 mg/kg,phi,-1.4490918140533338e-5,5.6714141483130605e-6,-2.6302659627096742e-5,-2.6791766539699345e-6,5.616455077193943e-6,5.726373219432178e-6
45 mg/kg,k1,2.88008591735419e-5,6.193856412987322e-6,8.010501869229012e-6,4.959121647785479e-5,6.103279779883924e-6,6.28443304609072e-6
45 mg/kg,k2,0.012000087550647543,0.01430760692378147,0.011504777587976972,0.012495397513318114,0.014258462483759553,0.014356751363803388
60 mg/kg,lambda_0,0.7896518010954108,0.8621053710866117,0.783479175018335,0.7958244271724866,0.8550751777257614,0.869135564447462
60 mg/kg,lambda_1,0.11865497087660187,0.19230183745993845,0.1155891945610356,0.12172074719216815,0.19103037984454854,0.19357329507532836
60 mg/kg,phi,-1.350576227789385e-5,5.3642017191292625e-6,-2.4557103713429374e-5,-2.454420842358326e-6,5.31229093475062e-6,5.416112503507905e-6
60 mg/kg,k1,2.4813283083430928e-5,5.554641762389147e-6,5.867962092538541e-6,4.3758604074323315e-5,5.465011153110133e-6,5.644272371668161e-6
60 mg/kg,k2,0.020124622851021994,0.024105765980885853,0.01948939278301205,0.02075985291903194,0.024022687999888156,0.02418884396188355
